./mnist-knn.py 7 2 0.2 0.1 0.60 > teste13.log

Validação:  0.9621428571428572
Teste:      0.9642857142857143
Classification Report:                precision    recall  f1-score   support

           0       0.98      0.99      0.98      1343
           1       0.97      0.99      0.98      1600
           2       0.96      0.97      0.97      1380
           3       0.96      0.94      0.95      1433
           4       0.97      0.96      0.96      1295
           5       0.96      0.96      0.96      1273
           6       0.97      0.99      0.98      1396
           7       0.97      0.96      0.96      1503
           8       0.97      0.94      0.96      1357
           9       0.93      0.94      0.93      1420

    accuracy                           0.96     14000
   macro avg       0.96      0.96      0.96     14000
weighted avg       0.96      0.96      0.96     14000

