./mnist-knn.py 5 2 0.2 0.25 0.50 > teste4.log

Validação:  0.9377857142857143
Teste:      0.9347857142857143
Classification Report:                precision    recall  f1-score   support

           0       0.96      0.97      0.96      1343
           1       0.97      0.99      0.98      1600
           2       0.95      0.95      0.95      1380
           3       0.92      0.89      0.90      1433
           4       0.91      0.91      0.91      1295
           5       0.94      0.93      0.94      1273
           6       0.96      0.98      0.97      1396
           7       0.96      0.95      0.95      1503
           8       0.91      0.90      0.90      1357
           9       0.87      0.88      0.87      1420

    accuracy                           0.93     14000
   macro avg       0.93      0.93      0.93     14000
weighted avg       0.93      0.93      0.93     14000

