./mnist-knn.py 7 2 0.1 0.2 0.50 > teste8.log

Validação:  0.9404761904761905
Teste:      0.9372857142857143
Classification Report:                precision    recall  f1-score   support

           0       0.96      0.98      0.97       683
           1       0.96      0.98      0.97       800
           2       0.93      0.96      0.94       674
           3       0.93      0.90      0.91       760
           4       0.91      0.90      0.91       611
           5       0.94      0.95      0.94       658
           6       0.95      0.98      0.97       677
           7       0.97      0.94      0.96       724
           8       0.92      0.89      0.90       693
           9       0.88      0.90      0.89       720

    accuracy                           0.94      7000
   macro avg       0.94      0.94      0.94      7000
weighted avg       0.94      0.94      0.94      7000

