./mnist-knn.py 7 1 0.2 0.1 0.50 > teste9.log

Validação:  0.9328571428571428
Teste:      0.9315714285714286
Classification Report:                precision    recall  f1-score   support

           0       0.95      0.97      0.96      1343
           1       0.97      0.99      0.98      1600
           2       0.94      0.95      0.95      1380
           3       0.93      0.88      0.90      1433
           4       0.92      0.89      0.91      1295
           5       0.92      0.92      0.92      1273
           6       0.96      0.98      0.97      1396
           7       0.96      0.95      0.95      1503
           8       0.90      0.89      0.90      1357
           9       0.86      0.89      0.88      1420

    accuracy                           0.93     14000
   macro avg       0.93      0.93      0.93     14000
weighted avg       0.93      0.93      0.93     14000

