./mnist-knn.py 9 1 0.2 0.25 0.50 > teste3.log

Validação:  0.9325
Teste:      0.932
Classification Report:                precision    recall  f1-score   support

           0       0.95      0.97      0.96      1343
           1       0.97      0.98      0.98      1600
           2       0.95      0.95      0.95      1380
           3       0.93      0.88      0.90      1433
           4       0.92      0.90      0.91      1295
           5       0.93      0.93      0.93      1273
           6       0.96      0.97      0.97      1396
           7       0.96      0.94      0.95      1503
           8       0.90      0.90      0.90      1357
           9       0.86      0.89      0.88      1420

    accuracy                           0.93     14000
   macro avg       0.93      0.93      0.93     14000
weighted avg       0.93      0.93      0.93     14000

