./mnist-knn.py 7 2 0.2 0.25 0.50 > teste5.log

Validação:  0.9377142857142857
Teste:      0.9332857142857143
Classification Report:                precision    recall  f1-score   support

           0       0.96      0.97      0.96      1343
           1       0.97      0.99      0.98      1600
           2       0.95      0.95      0.95      1380
           3       0.92      0.88      0.90      1433
           4       0.92      0.90      0.91      1295
           5       0.93      0.93      0.93      1273
           6       0.96      0.98      0.97      1396
           7       0.96      0.95      0.95      1503
           8       0.91      0.90      0.91      1357
           9       0.86      0.89      0.88      1420

    accuracy                           0.93     14000
   macro avg       0.93      0.93      0.93     14000
weighted avg       0.93      0.93      0.93     14000

