./mnist-knn.py 7 2 0.2 0.1 0.20 > teste11.log

Validação:  0.4835714285714286
Teste:      0.4933571428571429
Classification Report:                precision    recall  f1-score   support

           0       0.63      0.75      0.69      1343
           1       0.88      0.96      0.92      1600
           2       0.39      0.45      0.42      1380
           3       0.59      0.59      0.59      1433
           4       0.35      0.49      0.41      1295
           5       0.35      0.31      0.33      1273
           6       0.36      0.36      0.36      1396
           7       0.49      0.45      0.47      1503
           8       0.32      0.22      0.26      1357
           9       0.39      0.28      0.33      1420

    accuracy                           0.49     14000
   macro avg       0.48      0.49      0.48     14000
weighted avg       0.48      0.49      0.48     14000

